medium	description	compound	name
auto	functional_analyses	avite1	alpha-Tocopherol [vitE]
auto	functional_analyses	biotin	biotin
auto	functional_analyses	bvite	Beta-Tocopherol [vitE]
auto	functional_analyses	cbl1	cobalamin[vitB12]
auto	functional_analyses	cl	Cl-
auto	functional_analyses	co2	carbon dioxyde
auto	functional_analyses	cobalt2	cobalt
auto	functional_analyses	cro4	chromate
auto	functional_analyses	f	fluoride
auto	functional_analyses	fe2	Fe2+
auto	functional_analyses	fe3	Fe3+
auto	functional_analyses	Fe3-siderophores	a siderophore-bound Fe(III)
auto	functional_analyses	h	H+
auto	functional_analyses	h2	dihydrogene
auto	functional_analyses	h2o	water
auto	functional_analyses	hco3	bicarbonate
auto	functional_analyses	mg2	Mg2+
auto	functional_analyses	mobd	Molybdate
auto	functional_analyses	nh4	NH4+
auto	functional_analyses	ni2	nickel
auto	functional_analyses	no2	NO2-
auto	functional_analyses	no3	NO3-
auto	functional_analyses	photon	Light
auto	functional_analyses	pi	Phosphate
auto	functional_analyses	pydxn	pyridoxine[vitB6]
auto	functional_analyses	ribflv	riboflavin[vitB2]
auto	functional_analyses	sel	selenate
auto	functional_analyses	seln	selenide
auto	functional_analyses	selt	selenite
auto	functional_analyses	hso3	SO3
auto	functional_analyses	so4	SO42-
auto	functional_analyses	thm	thiamin[vitB1]
auto	functional_analyses	urea	Urea
chlamy	chlamy_ref	co2	carbon dioxyde
chlamy	chlamy_ref	h2o	water
chlamy	chlamy_ref	mg2	Mg2+
chlamy	chlamy_ref	nh4	NH4+
chlamy	chlamy_ref	no3	NO3-
chlamy	chlamy_ref	o2	dioxygene
chlamy	chlamy_ref	photon	photon
chlamy	chlamy_ref	pi	Phosphate
chlamy	chlamy_ref	so4	SO42-
chlorella	chlorella_ref	co2	co2
chlorella	chlorella_ref	h2o	water
chlorella	chlorella_ref	mg2	magnesium
chlorella	chlorella_ref	nh4	NH4+
chlorella	chlorella_ref	no3	NO3-
chlorella	chlorella_ref	o2	dioxygen
chlorella	chlorella_ref	photon	photon
chlorella	chlorella_ref	pi	phosphate
chlorella	chlorella_ref	so4	SO42-
CP	photeukstein	co2	carbon dioxyde
CP	photeukstein	h2o	water
CP	photeukstein	mg2	Mg2+
CP	photeukstein	nh4	NH4+
CP	photeukstein	o2	dioxygen
CP	photeukstein	photon	photon
CP	photeukstein	pi	Phosphate
CP	photeukstein	so4	SO42-
LB	LysogenyÂ broth	adn	Adenosine
LB	LysogenyÂ broth	ala__L	L-Alanine
LB	LysogenyÂ broth	amp	AMP
LB	LysogenyÂ broth	arg__L	L-Arginine
LB	LysogenyÂ broth	aso3	ArseniteÂ 
LB	LysogenyÂ broth	asp__L	L-Aspartate
LB	LysogenyÂ broth	ca2	Ca2+
LB	LysogenyÂ broth	cbl1	Vitamin B12
LB	LysogenyÂ broth	cd2	CadmiumÂ 
LB	LysogenyÂ broth	cl	Cl-
LB	LysogenyÂ broth	cmp	CMP
LB	LysogenyÂ broth	cobalt2	Co2+
LB	LysogenyÂ broth	cro4	ChromateÂ 
LB	LysogenyÂ broth	cu2	Cu2+
LB	LysogenyÂ broth	cys__L	L-Cysteine
LB	LysogenyÂ broth	dad_2	DeoxyadenosineÂ 
LB	LysogenyÂ broth	dcyt	Deoxycytidine
LB	LysogenyÂ broth	fe2	Fe2+
LB	LysogenyÂ broth	fe3	Fe3+
LB	LysogenyÂ broth	fol	Folate
LB	LysogenyÂ broth	glc__D	D-Glucose
LB	LysogenyÂ broth	glu__L	L-Glutamate
LB	LysogenyÂ broth	gly	Glycine
LB	LysogenyÂ broth	gmp	GMP
LB	LysogenyÂ broth	gsn	Guanosine
LB	LysogenyÂ broth	h	H+
LB	LysogenyÂ broth	h2o	H2O
LB	LysogenyÂ broth	h2s	Hydrogen sulfide
LB	LysogenyÂ broth	hg2	Hg2+Â 
LB	LysogenyÂ broth	his__L	L-Histidine
LB	LysogenyÂ broth	hxan	Hypoxanthine
LB	LysogenyÂ broth	ile__L	L-Isoleucine
LB	LysogenyÂ broth	ins	Inosine
LB	LysogenyÂ broth	k	K+
LB	LysogenyÂ broth	leu__L	L-Leucine
LB	LysogenyÂ broth	lipoate	Lipoate
LB	LysogenyÂ broth	lys__L	L-Lysine
LB	LysogenyÂ broth	met__L	L-Methionine
LB	LysogenyÂ broth	mg2	Mg
LB	LysogenyÂ broth	mn2	Mn2+
LB	LysogenyÂ broth	mobd	Molybdate
LB	LysogenyÂ broth	na1	Na+
LB	LysogenyÂ broth	nac	Isonicotinic acid
LB	LysogenyÂ broth	nh4	Ammonium
LB	LysogenyÂ broth	ni2	Ni2+
LB	LysogenyÂ broth	o2	O2
LB	LysogenyÂ broth	phe__L	L-Phenylalanine
LB	LysogenyÂ broth	pheme	Protoheme
LB	LysogenyÂ broth	pi	Phosphate
LB	LysogenyÂ broth	pnto__R	PAN
LB	LysogenyÂ broth	pro__L	L-Proline
