medium	description	compound	name					
marine	pi	pi	pi					
marine	glc__D	glc__D	glc__D					
marine	na1	na1	na1					
x	ac	ac	ac					
marine	ascb__L	ascb__L	ascb__L					
x	nac	nac	nac					
marine	pnto__R	pnto__R	pnto__R					
x	ribflv	ribflv	ribflv					
marine	mg2	mg2	mg2					
marine	cl	cl	cl					
marine	ca2	ca2	ca2					
marine	mn2	mn2	mn2					
marine	fe3	fe3	fe3					
marine	fe2	fe2	fe2					
marine	zn2	zn2	zn2					
marine	so4	so4	so4					
marine	cobalt2	cobalt2	cobalt2					
marine	cu	cu	cu					
marine	mobd	mobd	mobd					
marine	k	k	k					
marine	cu2	cu2	cu2					
marine	h2o	h2o	h2o					
marine	h	h	h					
marine  no3 no3 no3								
marine  nh4 nh4 nh4								
marine	asn__L	asn__L	asn__L					
marine	arg__L	arg__L	arg__L					
marine	ala__L	ala__L	ala__L					
marine	asp__L	asp__L	asp__L					
marine	glu__L	glu__L	glu__L					
marine	hco3	hco3	Bicarbonate					
marine	br	br	Bromide					
marine	bo3	bo3	Borate ion					
marine	cit	cit	Citrate					
marine	f	f	Fluoride					
marine	dipep	dipep	Dipeptides					
marine  tripep	tripep	tripeptides						
marine  o2	o2	o2						
x	arg__L	arg__L	L-Arginine					
x	asp__L	asp__L	L-Aspartate					
x	hco3	hco3	Bicarbonate					
x	pi	pi	pi					
x	h	h	h					
x	h2o	h2o	h2o					
x	gly	gly	gly					
x	arg__L	arg__L	arg__L					
x	glu__L	glu__L	glu__L					
x	ile__L	ile__L	ile__L					
x	leu__L	leu__L	leu__L					
x	met__L	met__L	met__L					
x	phe__L	phe__L	phe__L					
x	thr__L	thr__L	thr__L					
x	trp__L	trp__L	trp__L					
x	tyr__L	tyr__L	tyr__L					
x	val__L	val__L	val__L					
x	ac	ac	ac					
x	met__L	met__L	met__L					
x	ascb__L	ascb__L	ascb__L					
x	nac	nac	nac					
x	pnto__R	pnto__R	pnto__R					
x	ascb__L	ascb__L	ascb__L					
x	nh4	nh4	nh4					
x	no3	no3	no3					
x	ala__L	ala__L	L-Alanine					
x	arg__L	arg__L	L-Arginine					
x	asn__L	asn__L	L-Asparagine					
x	asp__L	asp__L	L-Aspartate					
x   glu__L	glu__L	L-Glutamate						
x	hco3	hco3	Bicarbonate					
x	x	cys__L	L-Cysteine					
x	x	br	Bromide					
x	x	bo3	Borate ion					
x	x	dipep	Dipeptides					
x   x	tripep	tripeptides						
PMM5	pi	pi	pi					
PMM5	glc__D	glc__D	glc__D					
PMM5	na1	na1	na1					
PMM5	ac	ac	ac					
PMM5	ascb__L	ascb__L	ascb__L					
PMM5	arg__L	arg__L	arg__L					
PMM5	glu__L	glu__L	glu__L					
PMM5	ile__L	ile__L	ile__L					
PMM5	leu__L	leu__L	leu__L					
PMM5	met__L	met__L	met__L					
PMM5	phe__L	phe__L	phe__L					
PMM5	thr__L	thr__L	thr__L					
PMM5	trp__L	trp__L	trp__L					
PMM5	tyr__L	tyr__L	tyr__L					
PMM5	val__L	val__L	val__L					
PMM5	nac	nac	nac					
PMM5	pnto__R	pnto__R	pnto__R					
PMM5	ribflv	ribflv	ribflv					
PMM5	mg2	mg2	mg2					
PMM5	cl	cl	cl					
PMM5	ca2	ca2	ca2					
PMM5	mn2	mn2	mn2					
PMM5	fe3	fe3	fe3					
PMM5	fe2	fe2	fe2					
PMM5	zn2	zn2	zn2					
PMM5	so4	so4	so4					
PMM5	cobalt2	cobalt2	cobalt2					
PMM5	cu	cu	cu					
PMM5	mobd	mobd	mobd					
PMM5	k	k	k					
PMM5	cu2	cu2	cu2					
PMM5	h2o	h2o	h2o					
PMM5	h	h	h					
x	x	cit	Citrate					
x	x	f	Fluoride					
x	x	his__L	Histidine					
x	x	ile__L	Isoleucine					
x	x	leu__L	Leucine					
x	x	lys__L	Lysine					
x	x	met__L	Methionine					
x	x	phe__L	Phenylalanine					
x	x	pro__L	Proline					
x	x	ser__L	Serine					
x	x	thr__L	L-Threonine					
x	x	trp__L	L-Tryptophan					
x	x	tyr__L	L-Tyrosine					
x	x	val_L	Valine					
x	x	br	Bromide					
x	x	bo3	Borate ion					
media1	pi	pi	pi					
media1	na1	na1	na1					
media1	nac	nac	nac					
media1	pnto__R	pnto__R	pnto__R					
media1	mg2	mg2	mg2					
media1	cl	cl	cl					
media1	ca2	ca2	ca2					
media1	mn2	mn2	mn2					
media1	fe3	fe3	fe3					
media1	fe2	fe2	fe2					
media1	zn2	zn2	zn2					
media1	so4	so4	so4					
media1	cobalt2	cobalt2	cobalt2					
media1	mobd	mobd	mobd					
media1	k	k	k					
media1	cu2	cu2	cu2					
media1	h2o	h2o	h2o					
media1	nh4	nh4	nh4					
media1	no3	no3	no3					
media1	btn	btn	btn					
media1	paba	paba	paba					
media1	4abz	4abz	4abz					
media1	nac	nac	nac					
media1	hco3	hco3	Bicarbonate					
media1	br	br	Bromide					
media1	ni2	ni2	ni2					
media1	f	f	Fluoride					
media1	cbl1	cbl1	cbl1					
media1	thm	thm	thm					
media1	o2	o2	o2					
media1	glc__D	glc__D	glc__D					
media1	ac	ac	ac					
media1	glyc	glyc	glyc					
media1	arab__L	arab__L	arab__L					
media2	pi	pi	pi					
media2	na1	na1	na1					
media2	nac	nac	nac					
media2	pnto__R	pnto__R	pnto__R					
media2	mg2	mg2	mg2					
media2	cl	cl	cl					
media2	ca2	ca2	ca2					
media2	mn2	mn2	mn2					
media2	fe3	fe3	fe3					
media2	fe2	fe2	fe2					
media2	zn2	zn2	zn2					
media2	so4	so4	so4					
media2	cobalt2	cobalt2	cobalt2					
media2	mobd	mobd	mobd					
media2	k	k	k					
media2	cu2	cu2	cu2					
media2	h2o	h2o	h2o					
media2	nh4	nh4	nh4					
media2	no3	no3	no3					
media2	btn	btn	btn					
media2	paba	paba	paba					
media2	4abz	4abz	4abz					
media2	nac	nac	nac					
media2	hco3	hco3	Bicarbonate					
media2	br	br	Bromide					
media2	ni2	ni2	ni2					
media2	f	f	Fluoride					
media2	cbl1	cbl1	cbl1					
media2	thm	thm	thm					
media2	o2	o2	o2					
media2	glc__D	glc__D	glc__D					
media2	arab__L	arab__L	arab__L					
media3	pi	pi	pi					
media3	na1	na1	na1					
media3	nac	nac	nac					
media3	pnto__R	pnto__R	pnto__R					
media3	mg2	mg2	mg2					
media3	cl	cl	cl					
media3	ca2	ca2	ca2					
media3	mn2	mn2	mn2					
media3	fe3	fe3	fe3					
media3	fe2	fe2	fe2					
media3	zn2	zn2	zn2					
media3	so4	so4	so4					
media3	cobalt2	cobalt2	cobalt2					
media3	mobd	mobd	mobd					
media3	k	k	k					
media3	cu2	cu2	cu2					
media3	h2o	h2o	h2o					
media3	nh4	nh4	nh4					
media3	no3	no3	no3					
media3	btn	btn	btn					
media3	paba	paba	paba					
media3	4abz	4abz	4abz					
media3	nac	nac	nac					
media3	hco3	hco3	Bicarbonate					
media3	br	br	Bromide					
media3	ni2	ni2	ni2					
media3	f	f	Fluoride					
media3	cbl1	cbl1	cbl1					
media3	thm	thm	thm					
media3	o2	o2	o2					
media3	ac	ac	ac					
media4	pi	pi	pi					
media4	na1	na1	na1					
media4	nac	nac	nac					
media4	pnto__R	pnto__R	pnto__R					
media4	mg2	mg2	mg2					
media4	cl	cl	cl					
media4	ca2	ca2	ca2					
media4	mn2	mn2	mn2					
media4	fe3	fe3	fe3					
media4	fe2	fe2	fe2					
media4	zn2	zn2	zn2					
media4	so4	so4	so4					
media4	cobalt2	cobalt2	cobalt2					
media4	mobd	mobd	mobd					
media4	k	k	k					
media4	cu2	cu2	cu2					
media4	h2o	h2o	h2o					
media4	nh4	nh4	nh4					
media4	no3	no3	no3					
media4	btn	btn	btn					
media4	paba	paba	paba					
media4	4abz	4abz	4abz					
media4	nac	nac	nac					
media4	hco3	hco3	Bicarbonate					
media4	br	br	Bromide					
media4	ni2	ni2	ni2					
media4	f	f	Fluoride					
media4	cbl1	cbl1	cbl1					
media4	thm	thm	thm					
media4	o2	o2	o2					
media4	glyc	glyc	glyc					
